,999_2N1_31,999_2N1_32,999_2N1_33,999_2N1_41,999_2N1_42,999_2N1_43,999_2N1_51,999_2N1_52,999_2N1_53,999_2N1_A1,999_2N1_A2,999_2N1_A3,999_2N1_N1,999_2N1_N2,999_2N1_N3,999_2N1_NA,999_2N1_NB,909_TPH_RAMEAL,999_FA1_P1,999_FA1_P2,999_HS1_L1,999_HS1_L2,999_HS1_L3,999_HS1_P1,999_HS1_PA,999_HS1_PB,999_HS1_PC,999_HS1_PD,999_HS1_PE,999_LQ1_T1,999_LQ1_T2,999_LQ1_T3,999_LQ1_T4,999_LQ1_T5,999_LQ1_T7,999_LQ1_T8,999_LQ1_TA,999_LQ1_TB,999_LQ1_TC,999_LQ1_TD,999_LQ1_TE,999_LQ1_TF,999_LQ2_F1,999_LQ2_F2,999_LQ2_F3,999_LQ2_T1,999_LQ2_T2,999_LQ2_T3,999_LQ2_T4,999_LQ2_T5,999_LQ2_T6,999_MD1_NA,999_MD1_NB,999_MD1_TA,999_MD1_TB,999_MD1_TU,999_MD1_TV,999_MD1_TW,999_MD1_TX,999_RM1_P3,999_RM1_T1,999_RM1_T2,999_SR1_NA,999_SR1_NB,999_SR1_TA,999_SR1_TB,999_SR1_TC,999_SR1_TD,999_SR1_TE,999_SR1_TF,999_SR1_TU,999_SR1_TV,999_SR1_TW,999_2N1_Z01,999_2N1_Z02,999_2N1_Z03,999_2N1_Z04,999_2N1_Z05,999_2N1_Z06,999_2N1_Z07,999_2N1_Z08,999_2N1_Z09,999_2N1_Z10,999_2N1_Z11,999_2N1_Z12,999_2N1_Z13,999_2N1_Z14,999_LQ1_F1,999_LQ1_F2,999_LQ1_PA,999_LQ1_PB,999_LQ1_PC,999_LQ1_PD,999_LQ1_PE,999_LQ1_PF,999_LQ1_PG,999_LQ1_PH,999_LQ1_PI,999_LQ1_PJ,999_LQ1_PK,999_LQ1_PL,999_LQ1_PM,999_LQ1_PN,999_LQ1_PO,999_LQ1_PP,999_LQ1_PQ,999_LQ1_PR,999_2N1_T7
2021-08-05 0:00,2.390000105,1.5,2.109999921,0.839999974,0.17,0.150000006,1.32,0.93,0.200000003,18.5,37.9,47.125,0.282499999,0.189999998,0.449999988,1.7,2.205,488.3808406,31.4554075,10.9313475,58.1055925,69.857555,63.3372025,145,144.2604,143.2838,144.2231,144.72035,143.697825,37.76956044,48.14815,42.36111,55.61343,56.42360765,47.85879637,50.40509033,83.73842,68.11343,77.25694069,72.68518,71.18055725,59.08564758,58,95,94,50,45,52,51,52,51,0.6799584,0.5902618,38,48.79999924,58.5,58.90000153,59.825,48,39.86437,192.432725,74.14704,11.0450725,9.9954285,43.60000229,57.60000229,65.52499962,78.92500114,83.90000153,100.5,57.79999943,57.90000153,60,8.03,8.279999733,7.320000172,7.619999886,6.7725,6.682,6.89925,6.842,5.01825,4.885,4.8055,4.57225,4.22775,4.22775,501.55525,545.912925,1.403356,63.2595475,48.556855,39.6050375,1.099537,74.86979,83.315245,75.647425,74.65278,72.193285,82.4833625,72.627315,77.5643825,70.457175,73.441115,70.52951,78.848375,6.860532,83.5
2021-08-05 1:00,2.36,1.440000057,2.119999886,0.839999974,0.17,0.150000006,1.322500039,0.99,0.200000003,19.025,38.1,47.825,0.289999992,0.189999998,0.449999988,1.755,2.09,468.1443185,31.6307575,11.1099575,58.7865975,70.5132125,61.92262,144,143.465225,142.464525,143.77515,144.188925,143.63745,37.44404984,48.20602,42.41898,55.72916412,56.59722034,47.91666412,50.52082825,84.02777,68.35937,77.37268066,72.51157,71.29629517,59.2013855,58,95,94,50,45,53,52,51,50,0.6799584,0.6886387,37.5,48.60000229,57.29999924,57.7,58.6,47,40.075955,193.69505,74.692305,11.2067425,10.4627175,43.60000229,57.70000076,65.59999847,80.325,84.825,101.025,58,58.10000229,60.20000076,8.029999733,8.279999733,7.320000172,7.619999886,6.785,6.689,6.90725,6.848,5.03225,4.903,4.77425,4.53525,4.205,4.205,500.79575,546.6725,1.394676,63.65741,50.7450775,40.364585,1.096643,76.87717,84.020545,71.54224,76.642075,74.0740775,80.638745,75.15914,78.4866925,70.619935,74.2368325,75.774015,75.71976,6.863426,83.5
2021-08-05 2:00,2.380000114,1.43,2.099999905,0.839999974,0.1625,0.150000006,1.28249999,0.949999988,0.200000003,19.1,38.3,47.925,0.289999992,0.19,0.449999988,1.75,2.15,469.7112077,31.9349825,11.2342475,59.4561025,71.7588525,62.403925,145,143.65915,142.781775,144.430175,144.630775,143.9684,37.93232,48.32175446,42.65046,55.84490204,56.71295947,48.0324,50.63657379,84.20139,68.57639,77.37268066,72.51157,71.35416,59.31713,58,95,94,50,46,54,52,52,50,0.6799584,0.5902618,36.70000076,48.10000057,56.70000076,57.20000076,58.20000076,46.5,39.9050575,197.2104,76.355725,12.1159025,11.2285675,43.29999924,57.42500114,65.5,82.09999847,86.42500114,103.4000015,58,58.10000229,60.20000076,8.029999733,8.279999733,7.320000172,7.619999914,6.799,6.69925,6.913,6.853,5.04975,4.917,4.751,4.513,4.20625,4.20625,500.340025,545.71035,1.394676,64.4169575,50.41956,41.449655,1.096643,76.64207,81.4706325,69.58912,73.2783575,74.9421275,81.9046625,74.9602125,79.01114,71.27098,71.270975,69.462525,79.029225,6.869213,83.6
2021-08-05 3:00,2.4,1.50999999,2.1,0.83,0.159999996,0.150000006,1.292499988,0.932500005,0.189999998,19.2,38,47.8,0.300000012,0.200000001,0.449999988,1.735,2.1825,476.7602028,32.0119825,11.400045,59.7980975,71.7756275,62.86568,145,143.789225,142.75055,144.26005,144.78465,143.9009,37.6068,48.20602,42.65046,55.90277863,56.77082825,48.0324,50.63657379,84.08565,68.57639,77.43054972,72.51157,71.35416,59.31713,58,95,94,50,46,54,52,52,49,0.6799584,0.5902618,36.025,47.40000153,55.79999924,56.20000019,57.2,45.5,39.84267,195.5026,76.8641025,12.347205,11.5289625,42.90000153,57,65.1,83.20000114,87.9,104.9,57.5,57.60000229,59.70000076,8.029999733,8.279999733,7.320000172,7.612500072,6.8005,6.70525,6.919,6.859,5.08125,4.942,4.736,4.495,4.18375,4.18375,500.4919,546.723125,1.394676,64.3446175,46.766495,35.3551775,1.099537,77.5824675,81.325955,74.7070325,74.2006675,74.09216,79.44517,72.1752,77.9622425,69.2274275,70.4029225,71.1082175,75.321905,6.869213,83.6
2021-08-05 4:00,2.302499986,1.487500012,2.089999971,0.839999974,0.159999996,0.150000006,1.2975,0.935000002,0.1925,19.625,38.2,48.2,0.300000012,0.1925,0.449999988,1.7225,2.18,473.268818,31.89563,11.5452925,60.24855,72.20409,62.27493,145,143.928,143.253375,144.177625,144.7209,143.950275,37.76956,48.20602,42.59259,55.96064758,56.82870121,48.0324,50.63657379,84.25926,68.63425,77.43055,72.4537,71.35416412,59.31713104,58,96,95,50,47,55,53,53,50,0.6799584,0.5902618,35.29999924,46.60000057,55.10000229,55.60000229,56.62500172,44.79999924,39.999995,198.103075,77.01548,12.1351475,11.72869,42.20000076,56.40000153,64.80000305,84,88.40000038,105.9,57.20000076,57.29999924,59.40000153,8.029999733,8.279999733,7.320000172,7.619999886,6.81225,6.71525,6.928,6.867,5.1,4.961,4.726,4.475,4.188,4.188,501.3021,546.875,1.394676,65.1584175,50.1302075,39.641205,1.099537,73.9655675,80.58449,74.58044,71.9401075,73.6038775,80.09621,75.0868075,75.972945,68.7934,75.213395,71.9581925,75.99103,6.869213,83.7
2021-08-05 5:00,2.335,1.480000019,2.09,0.839999974,0.159999996,0.150000006,1.325000039,0.970000007,0.2,19.225,38,47.625,0.300000012,0.200000003,0.449999988,1.72,2.13,471.3596003,31.8702575,11.201415,60.5597125,71.9704475,62.072765,145,143.867925,142.872825,143.79925,144.465875,143.681425,37.13662,48.14815,42.30324,55.96064819,56.82870483,47.91666412,50.52082825,84.08565,68.40278,77.43054962,72.39583,71.29629517,59.20139,58,96,94,49,47,55,53,52,49,0.6799584,0.5902618,34.70000076,46,54.40000153,54.90000153,55.8,44.29999924,40.2251425,190.742775,75.983545,11.7148075,10.7871475,42,56.20000076,64.70000458,84.20000458,88.30000305,106.0999985,56.90000153,57,59.025,8.029999733,8.279999733,7.320000172,7.619999886,6.81925,6.72125,6.93325,6.872,5.1085,4.97,4.7,4.47,4.161,4.161,501.5046,546.368675,1.400463,67.5094025,50.50998,37.38064,1.099537,77.817565,81.7419,73.56771,76.3527175,78.432435,80.9100075,74.327255,78.64945,71.74118,75.0144675,72.82624,76.985675,6.863426,83.6
2021-08-05 6:00,2.410000086,1.51749999,2.069999933,0.839999974,0.159999996,0.150000006,1.360000004,0.975000021,0.19,19.425,37.9,47.7,0.3,0.200000003,0.449999988,1.74,2.1825,460.4055236,31.8695575,11.2640025,60.245845,72.4221275,60.035625,144,143.864325,142.758775,143.666775,144.228,143.65675,37.6068,48.14814758,42.41898,55.96064819,56.82870483,47.91666,50.52082825,84.02777,68.3014975,77.3871479,72.16435,71.29629517,59.14352,58,96,95,50,48,56,53,52,51,0.6799584,0.5902618,35.40000153,46,55.325,55.825,56.72500038,45.525,40.03526,194.611225,77.3009325,11.98243,10.833885,42.70000076,56.79999943,65.20000458,84.5,89,104.9000015,57.40000153,57.5,59.6,8.029999733,8.279999733,7.320000172,7.6025,6.831,6.733,6.939,6.87825,5.118,4.984,4.703,4.466,4.1635,4.1635,500.6945,546.216725,1.394676,67.63599,53.294995,36.422165,1.099537,74.6346925,79.716435,69.408275,74.0017375,71.867765,86.534285,69.98698,77.05801,72.8262425,73.8570575,73.78472,77.9622425,6.863426,83.6
2021-08-05 7:00,2.359999921,1.419999957,2.08,0.839999974,0.159999996,0.150000006,1.29,0.89,0.209999993,18.8,38,47.4,0.29,0.200000003,0.449999988,1.6925,2.1475,478.2702721,31.42598,11.00377,59.0966725,71.21166,62.09187,145,144.030325,143.01165,144.335325,144.791875,144.15345,38.23974609,48.14814758,42.82407,56.01851654,56.88657379,48.0324,50.63657379,84.02777,68.3449,77.43055,72.51157379,71.2963,59.20139,58,95.25,94,49,49,57,53,53,50,0.581581414,0.5902618,36.79999943,47.3,57.325,57.825,58.725,47.5,40.4964025,190.08495,77.1839025,11.86652,10.9649725,43.9,57.825,66,84.80000305,89.20000458,105,57.90000153,58.025,60.10000229,8.029999733,8.279999733,7.320000172,7.61,6.84225,6.74925,6.95,6.89,5.129,4.99525,4.7195,4.49125,4.16,4.16,500.4919,547.0776,1.394676,66.261575,52.6801175,39.2252625,1.099537,78.5409425,80.783415,69.6795425,75.41233,77.8899025,82.356765,73.36878,79.3366625,71.28906,72.39222,73.6219575,76.58782,6.863426,83.6
2021-08-05 8:00,2.302499986,1.429999948,2.07,0.839999974,0.170000002,0.150000006,1.3125,1.03,0.19,18.3,37.925,47.2,0.2925,0.19,0.449999988,1.7025,2.03,488.0506642,30.94195,10.7165875,59.06811,71.444865,63.67453,145,143.990225,142.7382,144.283825,144.594425,143.881375,38.70992745,48.32175,42.99768066,56.19213104,57.06018066,48.14815,50.75231171,84.02777,68.3449,77.37268066,72.68518,71.35416412,59.375,58,95,94,50,50,58,55,53,50,0.581581414,0.5902618,39.22499981,49.6,60.325,60.8,61.725,50.3,39.88607,189.331525,76.0628775,11.40566,10.8423225,45.5,59.4,67.125,85,89.02499962,104.3000031,59.2,59.22500038,61.29999943,8.029999733,8.272500277,7.320000172,7.610000134,6.85925,6.767,6.958,6.901,5.135,4.99925,4.742,4.51625,4.17725,4.17725,500.0868,547.381375,1.391782403,65.1222475,46.07928,40.4188325,1.096643,77.383535,79.11965,74.3091725,76.6963225,74.291085,84.6715875,73.151765,81.488715,72.265625,72.7358225,73.549625,74.14641,6.863426,83.6
2021-08-05 9:00,2.304999983,1.519999981,2.079999924,0.839999974,0.159999996,0.150000006,1.279999971,0.930000007,0.189999998,18.3,38,47.325,0.3,0.200000003,0.449999988,1.665,2.07,486.3001904,30.571595,10.252585,58.7561475,71.2169825,63.9154175,144,144.044075,142.919975,144.3841,144.712975,144.216125,38.89077,48.66898,43.28703308,56.30786896,57.17593,48.32175446,50.92592621,84.02777,68.35937,77.54629517,72.74306,71.46990204,59.49074,58,95,94,50,51,58,56,53,51,0.581581414,0.5902618,41.40000153,51.72500038,62.7,63.12500172,64.1,52.4,39.511735,188.92645,77.0448125,11.28346,10.9500475,46.8,60.9,68.8,85.7,89.6,104.9000004,60.29999943,60.40000153,62.5,8.029999733,8.272500277,7.320000172,7.6025,6.874,6.78,6.96925,6.911,5.15025,5.01925,4.762,4.53225,4.1865,4.1865,500.188075,548.0903,1.391782,67.5094025,52.445025,40.6901075,1.096643,76.804835,78.7579575,72.04861,73.368775,76.099535,78.6132825,76.0272,74.7070325,71.77734,73.404945,72.3017975,80.3855625,6.869213,83.7
2021-08-05 10:00,2.4,1.48,2.089999914,0.839999974,0.159999996,0.150000006,1.302499986,0.9575,0.1925,18.4,38,47.2,0.300000012,0.200000003,0.449999988,1.73,2.09,478.655252,30.3897,10.27441,59.16011,71.61429,63.3296225,145,144.025175,143.0118,143.988625,144.3908,144.004525,38.72801,48.78472137,43.46065,56.42361,57.34953308,48.4375,50.9838,84.08565,68.40278,77.5463,72.74306,71.52778,59.66435,58,96,95,51,51,58,57,53,52,0.581581414,0.5902618,42.92500114,53.42500114,64.3,64.7,65.7,53.90000153,39.5415725,182.579125,76.9837675,10.9306425,10.8204075,48.29999943,62.325,70,86.30000305,89.90000153,105.8,61.925,62.1,64.125,8.029999733,8.270000458,7.320000172,7.610000134,6.878,6.789,6.97425,6.916,5.163,5.03,4.78625,4.54425,4.20925,4.20925,499.6817,548.140925,1.388888877,67.979605,50.14829,40.961375,1.096643,79.86111,79.029225,74.9421275,73.7485525,72.066695,79.42708,72.04861,74.81554,70.1135725,72.4645525,71.4156525,77.56438,6.86993625,83.7
2021-08-05 11:00,2.349999905,1.482500014,2.054999983,0.850000024,0.159999996,0.150000006,1.325000039,0.9,0.189999998,19.325,38.6,48.4,0.300000012,0.200000003,0.449999988,1.64,2.05,468.3785433,30.1354125,10.00722575,60.316515,73.15881,62.5998575,145,144.16125,143.165675,144.678825,145.059975,144.723175,38.87268448,48.95832825,43.69213,56.53935242,57.46528,48.61111,51.09953308,84.375,68.86574,77.60416412,72.74306,71.64351654,59.72222137,58,95,95,51,52,58.25,57,53,52,0.581581414,0.5902618,44.6,55,66.30000305,66.8,67.72500343,55.70000076,40.8978725,189.692975,77.704845,10.1396075,10.0854,49.79999924,63.90000153,70.90000153,86.5,90.20000458,106,63.825,63.92500114,66,8.029999733,8.279999733,7.320000172,7.6025,6.89,6.80025,6.98,6.92425,5.1815,5.048,4.77875,4.551,4.201,4.201,499.0741,548.140925,1.385995269,68.0338525,45.1388875,36.4040775,1.096643,73.7847225,79.7706925,72.5007225,74.05599,73.965565,79.228155,71.70501,76.55165,68.7753175,74.29108,69.2816875,74.1283275,6.875,83.8
2021-08-05 12:00,2.324999957,1.529999971,2.119999886,0.850000012,0.159999996,0.150000006,1.289999962,0.965,0.180000007,18.5,38.3,47.55,0.310000002,0.200000003,0.449999988,1.68,1.985,484.2841703,30.04453,9.7710395,60.231305,72.367855,64.536785,144,143.95795,142.81235,144.3136,144.8628,143.9659,37.76956,48.95832825,43.51852,56.59722137,57.58102,48.640045,51.21527863,84.230325,68.57639,77.60416412,72.91666,71.64351654,59.78009033,58,96,94,51,52,59,57,53,53,0.581581414,0.5902618,45.95000076,56.25,67.40000076,67.80000153,68.8,56.60000114,40.22243,195.33335,76.847195,10.562945,10.281775,50.8,64.90000153,71.5,86,89.7,104.2000046,64.7,64.80000153,66.90000153,8.029999733,8.270000458,7.320000172,7.599999905,6.889,6.805,6.984,6.929,5.183,5.0585,4.795,4.563,4.195,4.195,499.2766,549.00175,1.383101627,66.08073,49.479165,42.17303,1.090856,74.47193,78.812215,69.15509,73.38686,71.3614,81.886575,71.75926,76.20804,69.98698,71.469905,69.842305,75.810185,6.872106,83.8
